version,number of symbols,added symbols,removed symbols
1.16.42,282,0,0
1.16.41,282,0,0
1.16.36,282,0,0
1.16.27,282,0,0
1.16.26,282,5,0
1.16.6,277,0,0
1.16.2,277,0,0
1.16.1,277,0,0
1.15.3,277,0,0
1.14.61,277,0,0
1.14.60,277,0,0
1.14.59,277,0,0
1.14.41,277,0,0
1.14.35,277,0,0
1.14.29,277,0,0
1.13.26,277,0,0
1.13.25,277,0,0
1.13.21,277,0,0
1.13.14,277,0,0
1.12.36,277,0,0
1.12.33,277,0,0
1.12.29,277,0,0
1.12.17,277,0,0
1.11.7,277,0,0
1.10.44,277,0,0
1.10.33,277,0,0
1.10.30,277,0,0
1.10.15,277,0,0
1.10.11,277,0,0
1.9.232,277,0,0
1.9.206,277,0,0
1.9.191,277,0,0
1.9.182,277,0,0
1.9.181,277,0,0
1.9.175,277,0,0
1.9.166,277,0,0
1.9.156,277,0,0
1.9.145,277,0,0
1.9.143,277,0,0
1.9.139,277,0,0
1.9.137,277,0,0
1.9.128,277,0,0
1.9.125,277,0,0
1.9.122,277,0,0
1.9.116,277,3,0
1.9.96,274,0,0
1.9.75,274,0,0
1.9.64,274,0,0
1.9.39,274,0,0
1.9.20,274,0,0
1.9.8,274,0,0
1.9.7,274,0,0
1.8.9,274,0,0
1.7.81,274,0,0
1.7.80,274,0,0
1.7.59,274,0,0
1.7.56,274,0,0
1.7.48,274,0,0
1.7.43,274,0,0
1.7.28,274,0,0
1.7.24,274,0,0
1.7.14,274,0,0
1.7.6,274,0,0
1.6.14,274,0,0
1.5.26,274,0,0
1.5.22,274,,
