version,number of symbols,added symbols,removed symbols
1.20.6,1164,5,0
1.19.55,1159,0,0
1.19.49,1159,0,0
1.19.48,1159,0,0
1.19.47,1159,0,0
1.19.45,1159,0,0
1.19.40,1159,0,0
1.19.38,1159,0,0
1.19.35,1159,0,0
1.19.27,1159,16,0
1.18.18,1143,0,0
1.18.10,1143,14,10
1.17.58,1139,0,0
1.17.57,1139,4,0
1.17.49,1135,7,0
1.17.43,1128,0,0
1.17.42,1128,0,0
1.17.29,1128,0,0
1.17.24,1128,0,0
1.17.16,1128,0,0
1.17.14,1128,0,0
1.17.10,1128,0,0
1.17.4,1128,16,3
1.16.18,1115,0,0
1.16.13,1115,6,0
1.15.49,1109,1,0
1.15.44,1108,0,0
1.15.31,1108,0,0
1.15.28,1108,0,0
1.15.21,1108,0,0
1.15.20,1108,3,0
1.15.17,1105,0,0
1.15.8,1105,0,0
1.15.1,1105,57,0
1.14.13,1048,0,0
1.14.10,1048,0,0
1.14.8,1048,0,0
1.14.6,1048,3,1
1.13.42,1046,2,1
1.13.35,1045,0,0
1.13.31,1045,15,5
1.13.30,1035,0,0
1.13.28,1035,0,0
1.13.26,1035,0,0
1.13.23,1035,1,0
1.13.20,1034,0,0
1.13.11,1034,0,0
1.13.6,1034,0,0
1.13.2,1034,,
