version,number of symbols,added symbols,removed symbols
3.7.1,41,0,0
3.7.0,41,0,0
3.6.3,41,0,0
3.6.2,41,0,0
3.6.1,41,0,0
3.6.0,41,0,0
3.5.3,41,0,0
3.5.2,41,0,0
3.5.1,41,0,0
3.5.0,41,0,0
3.4.1,41,0,0
3.4.0,41,0,0
3.3.0,41,0,0
3.2.1,41,0,0
3.2.0,41,0,0
3.1.9,41,1,1
3.1.8,41,0,0
3.1.7,41,0,0
3.1.6,41,0,0
3.1.5,41,0,0
3.1.4,41,0,0
3.1.3,41,0,0
3.1.2,41,0,0
3.1.1,41,0,0
3.1.0,41,0,0
3.0.14,41,0,0
3.0.13,41,0,0
3.0.12,41,1,0
3.0.11,40,1,0
3.0.10,39,3,1
3.0.7,37,12,1
2.6.0,26,0,0
2.5.5,26,1,0
2.4.0,25,0,0
2.3.1,25,0,0
2.1.8,25,1,0
2.1.6,24,0,0
2.1.1,24,0,0
2.0.6,24,0,0
2.0.0,24,,
