version,number of symbols,added symbols,removed symbols
3.7.0,19,0,22
3.6.3,41,0,0
3.6.1,41,0,0
3.6.0,41,0,0
3.5.3,41,0,0
3.5.2,41,0,0
3.5.1,41,0,0
3.5.0,41,0,0
3.4.1,41,0,0
3.4.0,41,0,0
3.2.1,41,0,0
3.2.0,41,0,0
3.1.9,41,1,1
3.1.5,41,0,0
3.1.0,41,0,0
3.0.14,41,0,0
3.0.12,41,1,0
3.0.11,40,4,1
3.0.4,37,0,0
3.0.3,37,9,1
2.8.4,29,2,0
2.8.1,27,1,0
2.7.2,26,0,0
2.7.0,26,0,0
2.6.0,26,0,0
2.5.4,26,0,0
2.5.0,26,1,0
2.4.0,25,0,0
2.3.2,25,0,0
2.3.1,25,0,0
2.2.1,25,0,0
2.2.0,25,0,0
2.1.8,25,1,0
2.1.1,24,,
