version,number of symbols,added symbols,removed symbols
3.7.1,41,0,0
3.7.0,41,0,0
3.6.3,41,0,0
3.6.1,41,0,0
3.6.0,41,0,0
3.5.3,41,0,0
3.5.2,41,0,0
3.5.1,41,0,0
3.5.0,41,0,0
3.4.1,41,0,0
3.4.0,41,0,0
3.3.0,41,0,0
3.2.0,41,0,0
3.1.9,41,1,1
3.1.8,41,0,0
3.1.7,41,0,0
3.1.4,41,0,0
3.1.2,41,0,0
3.1.1,41,0,0
3.1.0,41,0,0
3.0.14,41,0,0
3.0.13,41,0,0
3.0.12,41,2,0
3.0.10,39,3,1
3.0.7,37,0,0
3.0.5,37,0,0
3.0.3,37,9,1
2.8.4,29,3,0
2.7.2,26,0,0
2.5.4,26,0,0
2.5.2,26,0,0
2.5.1,26,1,0
2.4.0,25,0,0
2.3.2,25,0,0
2.3.1,25,0,0
2.2.1,25,1,0
2.1.7,24,0,0
2.1.5,24,0,0
2.1.4,24,0,0
2.1.3,24,0,0
2.1.1,24,0,0
2.0.8,24,0,0
2.0.5,24,0,0
2.0.2,24,,
