version,number of symbols,added symbols,removed symbols
2.3.0,110,0,0
2.2.1,110,0,0
2.2.0,110,2,2
2.1.0,110,0,1
2.0.1,111,0,0
2.0.0,111,2,0
1.7.0,109,0,0
1.6.1,109,0,0
1.6.0,109,2,5
1.5.2,112,0,0
1.5.1,112,0,1
1.5.0,113,6,0
1.4.3,107,0,0
1.4.0,107,13,0
1.3.3,94,0,0
1.3.0,94,0,6
1.2.0,100,1,0
1.1.2,99,8,10
1.0.2,101,0,0
1.0.1,101,1,0
1.0.0,100,2,0
0.10.4,98,2,0
0.10.3,96,6,0
0.9.1,90,2,0
0.8.3,88,0,0
0.8.2,88,0,0
0.8.0,88,1,2
0.7.2,89,0,0
0.7.1,89,4,0
0.6.1,85,1,0
0.5.1,84,12,3
0.3.1,75,0,0
0.3,75,55,37
0.1.0dev,57,,
