version,number of symbols,added symbols,removed symbols
2.3.3,112,0,0
2.3.2,112,2,0
2.3.0,110,0,0
2.2.2,110,0,0
2.2.1,110,2,3
2.0.1,111,2,0
1.7.0,109,0,0
1.6.1,109,0,0
1.5.3,109,2,5
1.5.2,112,0,0
1.5.1,112,0,1
1.5.0,113,5,0
1.4.5,108,1,0
1.4.2,107,0,0
1.4.1,107,0,0
1.4.0,107,13,0
1.3.2,94,0,0
1.3.0,94,0,6
1.2.0,100,1,0
1.1.2,99,7,0
1.0.3,92,1,10
1.0.2,101,1,0
1.0.0,100,2,0
0.10.5,98,2,0
0.10.3,96,6,0
0.9.0,90,2,0
0.8.2,88,0,0
0.8.0,88,1,2
0.7.2,89,5,0
0.5.1,84,12,3
0.2,75,,
