version,number of symbols,added symbols,removed symbols
1.3.0,249,3,0
1.2.3,246,0,0
1.2.2,246,0,0
1.2.1,246,1,0
1.1.1,245,0,0
1.1.0,245,0,0
1.0.0.post1,245,0,0
1.0.0,245,6,43
0.24.1,282,2,2
0.23.6,282,0,0
0.23.3,282,1,0
0.23.2,281,1,0
0.23.0,280,2,0
0.22.13,278,4,0
0.22.11,274,0,2
0.22.10,276,2,0
0.22.8,274,3,0
0.22.6,271,77,11
0.21.18,205,0,0
0.21.16,205,1,0
0.21.15,204,0,0
0.21.14,204,0,0
0.21.13,204,0,0
0.21.12,204,0,0
0.21.11,204,0,0
0.21.10,204,0,2
0.21.8,206,4,0
0.21.5,202,0,0
0.21.3,202,0,0
0.21.1,202,8,16
0.20.0,210,6,6
0.19.8,210,9,1
0.19.6,202,19,6
0.19.3,189,1,0
0.19.0,188,0,0
0.18.1,188,4,0
0.17.10,184,3,7
0.17.7,188,0,0
0.17.5,188,117,121
0.16.6,192,3,0
0.16.4,189,121,118
0.14.11,186,28,0
0.14.8,158,2,0
0.14.7,156,0,0
0.14.6,156,0,0
0.14.3,156,23,0
0.12.0,133,3,0
0.10.2,130,,
