version,number of symbols,added symbols,removed symbols
1.3.0,249,3,0
1.2.0,246,1,0
1.1.1,245,0,0
1.0.0.post1,245,5,41
0.24.2,281,4,4
0.24.0,281,8,1
0.22.11,274,2,2
0.22.9,274,0,0
0.22.8,274,2,0
0.22.6,272,78,10
0.21.23,204,0,1
0.21.22,205,0,0
0.21.20,205,0,0
0.21.16,205,1,0
0.21.11,204,0,0
0.21.10,204,0,2
0.21.8,206,4,0
0.21.4,202,0,0
0.21.2,202,13,21
0.19.7,210,9,1
0.19.4,202,19,6
0.19.2,189,1,0
0.19.0,188,0,0
0.18.0,188,4,0
0.17.9,184,1,0
0.17.8,183,6,7
0.17.0,184,113,121
0.16.6,192,123,117
0.14.11,186,5,0
0.14.9,181,23,0
0.14.8,158,2,0
0.14.3,156,0,0
0.14.2,156,22,0
0.13.0,134,,
