version,number of symbols,added symbols,removed symbols
1.2.4,246,0,0
1.2.3,246,0,0
1.2.2,246,0,0
1.2.0,246,1,0
1.1.0,245,0,0
1.0.0.post1,245,0,0
1.0.0,245,5,41
0.24.2,281,2,3
0.24.1,282,2,1
0.24.0,281,0,1
0.23.5,282,1,0
0.23.1,281,1,0
0.23.0,280,2,0
0.22.13,278,0,0
0.22.12,278,4,2
0.22.10,276,2,0
0.22.9,274,0,0
0.22.8,274,2,0
0.22.6,272,78,10
0.21.24,204,0,0
0.21.23,204,0,1
0.21.22,205,0,0
0.21.19,205,0,0
0.21.17,205,1,0
0.21.15,204,0,0
0.21.14,204,0,0
0.21.13,204,0,0
0.21.10,204,0,2
0.21.8,206,4,0
0.21.5,202,0,0
0.21.4,202,0,0
0.21.3,202,0,0
0.21.2,202,0,0
0.21.1,202,8,16
0.20.0,210,6,6
0.19.8,210,0,0
0.19.7,210,9,1
0.19.5,202,0,0
0.19.4,202,19,6
0.19.2,189,1,0
0.19.0,188,5,0
0.17.8,183,2,7
0.17.7,188,0,0
0.17.5,188,1,0
0.17.1,187,3,0
0.17.0,184,113,121
0.16.7,192,0,0
0.16.6,192,3,0
0.16.3,189,121,116
0.14.10,184,3,0
0.14.9,181,25,0
0.14.7,156,0,0
0.14.5,156,0,0
0.14.3,156,1,1
0.14.0,156,22,0
0.13.0,134,0,0
0.12.2,134,0,0
0.12.1,134,3,0
0.11.1,131,,
