version,number of symbols,added symbols,removed symbols
4.55.2,1440,431,405
4.50.0,1414,33,11
4.46.0,1392,26,30
4.42.4,1396,29,9
4.40.0,1376,38,12
4.32.0,1350,13,7
4.25.1,1344,1,0
4.24.4,1343,0,3
4.23.8,1346,24,4
4.15.0,1326,8,1
4.13.0,1319,8,5
4.11.1,1316,0,0
4.10.0,1316,50,10
4.7.2,1276,8,0
4.6.1,1268,9,1
4.4.6,1260,85,92
3.86.8,1267,20,10
3.85.2,1257,162,135
3.79.2,1230,10,0
3.74.0,1220,1,0
3.73.4,1219,22,25
3.68.0,1222,61,18
3.66.14,1179,13,0
3.66.4,1166,28,4
3.59.1,1142,80,16
3.50.0,1078,7,6
3.48.1,1077,8,0
3.46.0,1069,6,2
3.45.3,1065,23,4
3.44.23,1046,23,2
3.44.4,1025,14,10
3.38.5,1021,37,10
3.36.1,994,,
