version,number of symbols,added symbols,removed symbols
4.54.0,1422,0,0
4.53.2,1422,422,404
4.53.0,1404,0,16
4.50.8,1420,15,11
4.50.6,1416,0,0
4.50.2,1416,2,0
4.50.1,1414,12,5
4.47.4,1407,0,5
4.47.3,1412,5,3
4.44.4,1410,0,4
4.44.1,1414,12,3
4.43.8,1405,2,0
4.43.6,1403,2,2
4.43.2,1403,5,1
4.42.10,1399,2,0
4.42.8,1397,1,0
4.42.4,1396,20,9
4.41.3,1385,1,0
4.41.2,1384,8,0
4.39.3,1376,0,3
4.39.0,1379,4,0
4.38.3,1375,3,7
4.38.0,1379,130,0
4.36.2,1249,0,121
4.36.1,1370,5,0
4.33.0,1365,8,0
4.32.3,1357,1,1
4.32.2,1357,22,8
4.24.5,1343,0,0
4.24.4,1343,0,0
4.24.3,1343,0,0
4.24.1,1343,0,0
4.23.9,1343,0,3
4.23.8,1346,0,1
4.23.5,1347,0,0
4.23.2,1347,1,0
4.23.0,1346,3,1
4.21.0,1344,16,2
4.17.0,1330,7,0
4.14.6,1323,5,0
4.14.1,1318,5,5
4.12.0,1318,0,0
4.11.6,1318,2,1
4.11.4,1317,1,0
4.11.1,1316,0,0
4.10.0,1316,26,3
4.8.0,1293,4,1
4.7.19,1290,2,0
4.7.18,1288,10,0
4.7.12,1278,1,0
4.7.10,1277,58,88
3.88.3,1307,,
