version,number of symbols,added symbols,removed symbols
4.55.0,1437,13,0
4.54.2,1424,408,405
4.53.1,1421,1,0
4.51.0,1420,15,11
4.50.4,1416,0,0
4.50.2,1416,17,11
4.46.0,1410,2,2
4.44.4,1410,0,0
4.44.3,1410,0,4
4.44.2,1414,12,3
4.43.8,1405,2,0
4.43.6,1403,2,2
4.43.4,1403,0,0
4.43.2,1403,1,0
4.43.0,1402,6,1
4.42.8,1397,7,1
4.42.0,1391,23,8
4.39.3,1376,16,10
4.36.2,1370,2,0
4.35.0,1368,3,0
4.34.0,1365,8,0
4.32.3,1357,9,2
4.32.0,1350,0,0
4.31.1,1350,0,0
4.31.0,1350,14,11
4.23.7,1347,17,3
4.17.2,1333,2,0
4.17.1,1331,3,0
4.16.0,1328,5,0
4.14.3,1323,4,0
4.14.2,1319,1,0
4.14.1,1318,0,0
4.14.0,1318,0,1
4.13.0,1319,5,4
4.11.6,1318,0,0
4.11.5,1318,3,1
4.11.1,1316,32,4
4.7.17,1288,0,0
4.7.16,1288,10,0
4.7.12,1278,,
