version,number of symbols,added symbols,removed symbols
4.56.3,1439,5,6
4.55.2,1440,18,0
4.53.2,1422,407,405
4.50.8,1420,15,11
4.50.4,1416,2,0
4.49.0,1414,15,11
4.46.0,1410,2,6
4.44.2,1414,0,0
4.44.1,1414,14,3
4.43.6,1403,2,2
4.43.4,1403,0,0
4.43.3,1403,0,0
4.43.2,1403,7,1
4.42.8,1397,1,0
4.42.6,1396,6,1
4.42.0,1391,15,8
4.41.1,1384,8,0
4.40.1,1376,7,10
4.38.0,1379,14,0
4.34.0,1365,17,2
4.31.1,1350,0,0
4.31.0,1350,0,2
4.28.0,1352,6,4
4.26.4,1350,2,1
4.26.1,1349,6,0
4.24.5,1343,0,0
4.24.0,1343,0,0
4.23.9,1343,0,4
4.23.2,1347,1,0
4.23.0,1346,3,0
4.22.2,1343,0,1
4.22.0,1344,0,0
4.18.3,1344,13,2
4.17.2,1333,3,0
4.17.0,1330,7,0
4.14.3,1323,5,0
4.14.1,1318,0,1
4.13.0,1319,5,4
4.11.6,1318,0,0
4.11.5,1318,3,1
4.11.1,1316,24,3
4.9.0,1295,2,0
4.8.0,1293,4,1
4.7.19,1290,2,0
4.7.17,1288,2,0
4.7.15,1286,8,0
4.7.12,1278,3,4
4.7.9,1279,4,0
4.7.6,1275,0,0
4.7.5,1275,0,0
4.7.3,1275,9,2
4.6.1,1268,0,0
4.5.10,1268,0,0
4.5.9,1268,7,1
4.5.2,1262,30,19
4.0.1,1251,6,62
3.88.3,1307,55,15
3.86.7,1267,21,9
3.84.5,1255,149,110
3.84.1,1216,8,21
3.83.2,1229,0,0
3.83.1,1229,1,0
3.82.5,1228,3,4
3.82.1,1229,4,1
3.79.0,1226,2,0
3.76.0,1224,0,0
3.75.4,1224,0,0
3.75.3,1224,4,0
3.74.0,1220,1,0
3.73.4,1219,6,0
3.71.9,1213,0,0
3.71.7,1213,0,0
3.71.6,1213,5,0
3.71.1,1208,0,0
3.71.0,1208,0,25
3.70.3,1233,2,0
3.69.12,1231,3,0
3.69.2,1228,0,0
3.69.0,1228,9,0
3.67.1,1219,28,7
3.66.24,1198,33,14
3.66.14,1179,5,0
3.66.6,1174,8,0
3.66.5,1166,2,0
3.66.0,1164,21,4
3.61.0,1147,8,0
3.59.0,1139,55,2
3.56.6,1086,12,2
3.56.5,1076,1,2
3.55.4,1077,0,3
3.55.2,1080,12,4
3.52.1,1072,0,7
3.52.0,1079,3,2
3.50.0,1078,5,1
3.49.0,1074,10,5
3.46.0,1069,29,6
3.45.1,1046,23,2
3.44.4,1025,0,0
3.44.3,1025,2,2
3.44.1,1025,11,8
3.40.1,1022,0,0
3.38.9,1022,1,0
3.38.5,1021,10,6
3.37.0,1017,176,64
3.21.1,905,145,26
3.11.6,786,144,48
3.4.2,690,,
