version,number of symbols,added symbols,removed symbols
1.0.9,272,0,0
1.0.3,272,0,0
1.0.2,272,0,0
1.0.1,272,28,13
0.35.6,257,0,0
0.35.4,257,0,0
0.35.0,257,10,0
0.34.12,247,0,0
0.34.11,247,0,0
0.34.9,247,0,0
0.34.8,247,0,0
0.34.5,247,0,0
0.34.3,247,5,9
0.33.11,251,0,0
0.33.10,251,0,0
0.33.8,251,0,0
0.33.7,251,0,0
0.33.6,251,0,0
0.33.3,251,0,0
0.33.2,251,0,0
0.33.0,251,27,29
0.32.0,253,8,0
0.31.11,245,0,0
0.31.10,245,0,0
0.31.9,245,0,0
0.31.5,245,1,0
0.31.4,244,2,0
0.31.2,242,0,0
0.31.1,242,19,2
0.30.5,225,0,0
0.30.4,225,71,30
0.29.1,184,8,1
0.28.14,177,0,0
0.28.13,177,0,0
0.28.12,177,0,0
0.28.8,177,0,0
0.28.7,177,0,0
0.28.5,177,0,0
0.28.4,177,0,0
0.28.3,177,0,0
0.28.0,177,2,0
0.27.0,175,5,4
0.26.4,174,0,0
0.26.3,174,0,0
0.26.2,174,12,1
0.25.2,163,0,3
0.25.0,166,2,0
0.24.1,164,0,0
0.24.0,164,99,0
0.23.1,65,1,0
0.22.1,64,11,0
0.21.0,53,14,16
0.20.2,55,31,122
0.18.1,146,0,0
0.18.0,146,1,0
0.17.5,145,0,0
0.17.4,145,13,14
0.13.1,146,0,0
0.12.1,146,15,10
0.11.1,141,0,0
0.10.0,141,0,0
0.9.1,141,3,1
0.8.0,139,86,0
0.6.0,53,0,0
0.5.0,53,0,0
0.4.1,53,1,0
0.3.0,52,40,0
0.1.1,12,0,0
0.0.10,12,4,0
0.0.5,8,,
