version,number of symbols,added symbols,removed symbols
0.34.10,247,0,0
0.34.4,247,5,9
0.33.2,251,36,29
0.31.4,244,21,2
0.30.5,225,74,26
0.28.15,177,0,0
0.28.14,177,0,0
0.28.12,177,0,0
0.28.11,177,0,0
0.28.0,177,2,0
0.27.2,175,0,0
0.27.0,175,5,4
0.26.5,174,11,1
0.24.0,164,99,0
0.23.1,65,1,0
0.22.0,64,11,0
0.21.0,53,14,16
0.20.2,55,32,122
0.17.4,145,0,0
0.16.2,145,13,13
0.15.0,145,4,5
0.13.2,146,0,0
0.13.1,146,15,10
0.11.2,141,89,1
0.5.0,53,1,0
0.3.0,52,39,0
0.2.0,13,0,0
0.1.2,13,1,0
0.0.13,12,0,0
0.0.10,12,4,0
0.0.5,8,,
