version,number of symbols,added symbols,removed symbols
0.35.6,257,10,0
0.34.12,247,0,0
0.34.11,247,0,0
0.34.9,247,0,0
0.34.8,247,5,9
0.33.11,251,0,0
0.33.10,251,0,0
0.33.8,251,0,0
0.33.2,251,0,0
0.33.1,251,27,29
0.32.0,253,8,0
0.31.10,245,0,0
0.31.8,245,1,0
0.31.3,244,2,0
0.31.1,242,0,0
0.31.0,242,19,2
0.30.2,225,0,0
0.30.1,225,71,30
0.29.2,184,8,1
0.28.14,177,0,0
0.28.13,177,0,0
0.28.12,177,0,0
0.28.3,177,2,0
0.27.2,175,5,4
0.26.3,174,9,1
0.25.2,166,0,0
0.25.0,166,2,0
0.24.1,164,0,0
0.24.0,164,100,0
0.22.1,64,0,0
0.22.0,64,11,0
0.21.0,53,31,123
0.19.0,145,0,1
0.18.1,146,0,0
0.18.0,146,1,0
0.17.5,145,83,0
0.17.2,62,13,97
0.13.2,146,0,0
0.13.1,146,0,0
0.12.1,146,15,10
0.11.1,141,0,0
0.10.0,141,0,0
0.9.1,141,89,1
0.7.0,53,0,0
0.6.0,53,,
