version,number of symbols,added symbols,removed symbols
0.7.12,58,0,0
0.7.8,58,0,0
0.7.6,58,0,0
0.7.5,58,0,0
0.7.3,58,0,0
0.7.2,58,9,1
0.7.1,50,0,0
0.7.0,50,0,0
0.6.4,50,0,0
0.6.3,50,3,1
0.6.1,48,1,0
0.5.3,47,0,0
0.5.0,47,0,3
0.4.4,50,0,0
0.4.2,50,0,0
0.4.1,50,6,1
0.3.8,45,0,0
0.3.4,45,0,0
0.3.2,45,0,0
0.3.1,45,0,0
0.3.0,45,0,0
0.2.11,45,0,0
0.2.10,45,0,3
0.2.8,48,1,0
0.2.7,47,0,0
0.2.6,47,0,0
0.2.5,47,4,3
0.2.1,46,0,0
0.2.0,46,6,11
0.1.2,51,15,2
0.1.1,38,2,0
0.1.0,36,0,0
0.0.9,36,,
