version,number of symbols,added symbols,removed symbols
1.17.9.0,141,0,0
1.16.59.0,141,0,0
1.16.56.0,141,0,0
1.16.54.0,141,0,0
1.16.49.0,141,0,0
1.16.48.0,141,0,0
1.16.46.0,141,0,0
1.16.44.0,141,0,0
1.16.32.0,141,0,0
1.16.31.1,141,0,0
1.16.30.0,141,0,0
1.16.29.0,141,2,0
1.16.28.1,139,0,0
1.16.26.0,139,3,0
1.16.24.0,136,0,0
1.16.21.0,136,0,0
1.16.20.0,136,0,0
1.16.6.0,136,0,0
1.16.5.0,136,0,0
1.16.4.0,136,0,0
1.16.3.0,136,0,0
1.16.1.0,136,3,0
1.15.18.0,133,0,0
1.15.17.0,133,0,0
1.15.14.0,133,0,0
1.15.13.0,133,4,0
1.15.10.0,129,0,0
1.15.8.0,129,0,0
1.15.6.0,129,7,0
1.15.4.0,122,0,0
1.15.2.0,122,0,0
1.14.60.0,122,0,0
1.14.55.2,122,1,0
1.14.53.0,121,0,0
1.14.51.0,121,0,0
1.14.49.0,121,0,0
1.14.39.0,121,0,0
1.14.38.0,121,0,0
1.14.35.0,121,0,0
1.14.29.0,121,0,0
1.14.20.0,121,,
