version,number of symbols,added symbols,removed symbols
2.5.0,784,45,29
2.4.2,768,0,0
2.4.1,768,7,9
2.3.2,770,38,22
2.1.4,754,7,1
2.1.3,748,33,6
2.1.2,721,2,1
2.1.1,720,3,2
2.0.0,719,52,13
1.14.2,680,79,89
1.13.2,690,5,2
1.13.0.64,687,1,5
1.13.0.55,691,0,1
1.13.0.28,692,11,8
1.12.8.4,689,35,24
1.12.2.20,678,0,0
1.12.2.13,678,0,0
1.12.2.12,678,1,1
1.12.2.5,678,18,13
1.12.0.13,673,34,16
1.11.12.56,655,0,0
1.11.12.31,655,1,0
1.11.12.5,654,0,0
1.11.12,654,11,6
1.11.10.59,649,3,1
1.11.10.40,647,25,1
1.11.6.20,623,1,11
1.11.6.7,633,,
