version,number of symbols,added symbols,removed symbols
2.3.0,770,73,24
2.1.2,721,2,1
2.1.0,720,3,2
2.0.0,719,60,12
1.14.0,671,26,34
1.13.2.107,679,26,9
1.13.2.36,662,15,43
1.13.2.13,690,5,6
1.13.0.55,691,0,1
1.13.0.49,692,0,0
1.13.0.44,692,0,0
1.13.0.28,692,11,8
1.13.0.4,689,0,0
1.12.8.4,689,0,0
1.12.8,689,4,0
1.12.6.53,685,1,1
1.12.6.15,685,49,37
1.12.0.13,673,0,0
1.12.0.9,673,23,8
1.11.14.1,658,2,0
1.11.12.92,656,9,8
1.11.12.56,655,0,0
1.11.12.31,655,1,0
1.11.12.5,654,0,0
1.11.12,654,11,6
1.11.10.59,649,3,1
1.11.10.40,647,25,1
1.11.6.20,623,,
