version,number of symbols,added symbols,removed symbols
2.5.0,784,45,29
2.4.1.post5,768,0,0
2.4.0.post5,768,45,31
2.1.4,754,39,5
2.1.1,720,3,2
2.0.0,719,60,12
1.14.0,671,52,43
1.13.2.36,662,15,43
1.13.2,690,5,2
1.13.0.64,687,1,5
1.13.0.61,691,0,0
1.13.0.55,691,0,1
1.13.0.44,692,0,0
1.13.0.28,692,11,8
1.13.0.4,689,0,0
1.12.8.4,689,0,0
1.12.6.66,689,4,0
1.12.6.59,685,32,25
1.12.2.5,678,43,21
1.11.12.92,656,9,8
1.11.12.56,655,1,0
1.11.12.5,654,0,0
1.11.12,654,14,7
1.11.10.40,647,3,1
1.11.8,645,22,0
1.11.6.20,623,1,11
1.11.6.7,633,,
