version,number of symbols,added symbols,removed symbols
0.19.1,498,2,250
0.19.0,746,58,16
0.18.2,704,3,0
0.18.1,701,0,0
0.18.0,701,293,35
0.17.3,443,0,248
0.17.2,691,1,0
0.17.1,690,248,0
0.17.0,442,2,0
0.16.4,440,5,248
0.16.3,683,0,0
0.16.2,683,259,3
0.16.0,427,46,237
0.15.2,618,241,4
0.15.1,381,0,1
0.14.3,382,0,0
0.14.2,382,1,276
0.14.1,657,254,11
0.13.6,414,2,2
0.13.3,414,11,36
0.13.2,439,1,0
0.13.0,438,63,16
0.12.1,391,0,0
0.12.0,391,45,15
0.10.3,361,5,0
0.10.0,356,31,8
0.9.3,333,,
