version,number of symbols,added symbols,removed symbols
6.2.1,1364,2,0
6.2.0,1362,83,72
6.1.2,1351,4,1
6.1.1,1348,65,51
6.0.2,1334,272,57
5.4.3,1119,17,4
5.4.1,1106,108,27
5.3.5,1025,0,0
5.3.4,1025,5,0
5.3.3,1020,17,2
5.3.0,1005,55,10
5.2.2,960,58,118
4.6.4,1020,1,0
4.6.2,1019,4,5
4.5.0,1020,31,14
4.4.0,1003,33,2
4.3.0,972,6,0
4.2.1,966,0,0
4.2.0,966,47,58
4.0.2,977,3,0
3.10.1,974,0,2
3.10.0,976,16,2
3.9.3,962,1,2
3.9.2,963,2,0
3.9.1,961,72,15
3.7.4,904,4,1
3.7.2,901,3,1
3.7.1,899,36,7
3.6.4,870,2,1
3.6.2,869,125,48
3.3.1,792,0,1
3.3.0,793,35,63
3.2.3,821,1,0
3.2.1,820,47,14
3.1.3,787,9,0
3.1.0,778,104,17
3.0.7,691,20,1
3.0.2,672,0,0
3.0.1,672,129,103
2.9.2,646,,
