version,number of symbols,added symbols,removed symbols
6.2.2,1364,2,0
6.2.0,1362,83,72
6.1.2,1351,4,1
6.1.1,1348,65,51
6.0.0,1334,289,62
5.4.0,1107,109,27
5.3.5,1025,5,0
5.3.3,1020,17,1
5.3.1,1004,0,1
5.3.0,1005,55,10
5.2.4,960,0,0
5.2.2,960,0,0
5.2.1,960,2,0
5.2.0,958,13,3
5.1.0,948,47,118
4.6.3,1019,0,0
4.6.1,1019,30,19
4.4.1,1008,5,0
4.4.0,1003,84,58
4.0.2,977,0,0
4.0.1,977,3,0
3.10.1,974,0,2
3.10.0,976,16,2
3.9.3,962,3,2
3.9.1,961,45,15
3.8.2,931,8,0
3.8.0,923,33,5
3.7.0,895,32,7
3.6.4,870,2,1
3.6.2,869,17,9
3.6.1,861,7,0
3.6.0,854,5,5
3.5.1,854,2,1
3.5.0,853,49,13
3.4.0,817,44,17
3.3.2,790,2,4
3.3.1,792,27,63
3.2.4,828,8,1
3.2.2,821,49,14
3.1.2,786,5,0
3.1.1,781,107,17
3.0.7,691,1,0
3.0.6,690,5,1
3.0.5,686,11,0
3.0.3,675,3,0
3.0.1,672,129,103
2.9.2,646,,
