version,number of symbols,added symbols,removed symbols
6.2.0,1362,87,73
6.1.1,1348,341,100
5.4.0,1107,113,26
5.3.3,1020,16,0
5.3.2,1004,1,1
5.3.1,1004,0,1
5.3.0,1005,55,10
5.2.4,960,12,0
5.1.1,948,46,118
4.6.4,1020,35,18
4.4.0,1003,103,63
3.9.2,963,47,15
3.8.2,931,77,0
3.8.1,854,8,77
3.8.0,923,33,5
3.7.0,895,58,17
3.6.0,854,7,6
3.5.0,853,94,34
3.3.0,793,27,62
3.2.5,828,9,1
3.2.1,820,2,0
3.2.0,818,45,14
3.1.3,787,114,17
3.0.6,690,19,1
3.0.2,672,0,0
3.0.1,672,129,103
2.9.2,646,,
