version,number of symbols,added symbols,removed symbols
2020.9.5.14.42.2,88,0,0
2020.9.2.20.23.42,88,0,1
2020.5.1.9.54.41,89,0,0
2020.4.24.9.29.7,89,0,0
2020.4.21.14.53.58,89,0,0
2019.12.11.22.25.52,89,0,0
2019.10.3.10.26.21,89,0,0
2019.9.30.17.47.33,89,0,0
2019.7.23.15.26.49,89,0,10
2019.7.3.22.46.7,99,0,0
2019.6.26.15.8.24,99,0,0
2019.6.26.13.52.49,99,0,0
2019.6.26.0.0.13,99,4,0
2019.6.11.17.26.3,95,16,0
2019.3.18.14.33.20,79,3,3
2018.11.3.1.0.41,79,3,0
2018.10.1.22.5.32,76,0,0
2018.7.5.21.55.13,76,2,0
2018.6.18.16.33.12,74,0,0
2018.5.16.9.16.21,74,0,0
2018.5.10.13.50.12,74,1,2
2018.5.9.12.22.4,75,0,0
2018.5.2.21.39.8,75,,
