version,number of symbols,added symbols,removed symbols
2020.9.5.14.42.2,88,0,0
2020.9.2.20.23.42,88,0,1
2020.4.21.14.53.58,89,0,0
2019.12.11.22.25.52,89,0,0
2019.7.23.15.26.49,89,0,11
2019.7.15.12.50.36,100,1,0
2019.7.3.22.46.7,99,0,0
2019.6.26.13.52.49,99,0,0
2019.6.26.0.0.13,99,23,3
2018.11.3.1.0.41,79,3,0
2018.10.1.22.5.32,76,0,0
2018.7.5.21.55.13,76,2,0
2018.6.18.16.33.12,74,0,0
2018.5.31.16.8.42,74,0,0
2018.5.16.9.16.21,74,0,0
2018.5.10.13.50.12,74,1,2
2018.5.9.21.48.54,75,0,0
2018.4.26.9.35.2,75,,
