version,number of symbols,added symbols,removed symbols
2020.11.13,674,0,0
2020.11.11,674,4,0
2020.6.7,670,0,0
2020.2.20,670,409,5
2019.12.19,266,5,409
2019.12.9,670,412,9
2019.08.19,267,0,0
2019.05.25,267,5,409
2019.04.14,671,0,0
2019.03.09,671,644,207
2019.02.03,234,0,0
2018.11.06,234,0,0
2018.11.03,234,0,0
2018.11.02,234,0,0
2018.08.29,234,0,0
2018.07.11,234,2,1
2018.06.06,233,231,1
2017.11.09,3,1,234
2017.07.28,236,0,0
2017.06.23,236,0,0
2017.06.20,236,0,0
2017.06.07,236,4,4
2016.09.22,236,,
