version,number of symbols,added symbols,removed symbols
2020.11.13,674,0,0
2020.10.23,674,4,0
2020.10.15,670,0,0
2020.10.11,670,0,0
2020.5.14,670,0,0
2020.4.4,670,0,0
2020.2.20,670,0,0
2020.2.18,670,0,0
2020.1.7,670,0,0
2019.11.1,670,5,6
2019.04.10,671,0,0
2019.04.09,671,0,0
2019.03.09,671,644,207
2019.02.18,234,0,0
2019.02.07,234,0,0
2019.01.24,234,0,0
2018.08.29,234,4,4
2018.06.21,234,3,2
2018.06.09,233,0,0
2018.06.06,233,0,4
2018.02.21,237,2,1
2018.01.10,236,2,3
2017.12.05,237,3,2
2017.07.11,236,2,3
2017.06.07,237,0,0
2017.04.23,237,3,2
2017.04.05,236,2,3
2017.01.17,237,5,3
2016.12.27,235,0,0
2016.11.18,235,2,3
2016.10.22,236,3,2
2016.07.21,235,0,0
2016.06.19,235,1,0
2016.04.25,234,4,3
2016.03.31,233,,
