version,number of symbols,added symbols,removed symbols
0.16.12,743,0,0
0.16.6,743,0,0
0.16.5,743,0,0
0.16.4,743,0,0
0.16.2,743,0,0
0.15.100,743,0,0
0.15.98,743,0,0
0.15.96,743,0,0
0.15.92,743,0,0
0.15.91,743,0,0
0.15.88,743,0,44
0.15.86,787,0,0
0.15.85,787,0,0
0.15.82,787,12,0
0.15.79,775,0,0
0.15.78,775,0,0
0.15.77,775,1,0
0.15.76,774,3,2
0.15.75,773,0,0
0.15.74,773,6,0
0.15.73,767,1,0
0.15.72,766,0,0
0.15.71,766,44,0
0.15.68,722,0,0
0.15.67,722,1,0
0.15.65,721,0,0
0.15.64,721,0,0
0.15.63,721,23,5
0.15.50,703,2,0
0.15.49,701,0,0
0.15.48,701,0,29
0.15.46,730,2,0
0.15.43,728,2,0
0.15.41,726,0,0
0.15.40,726,6,0
0.15.33,720,27,0
0.15.23,693,1,0
0.15.21,692,0,0
0.15.19,692,4,1
0.15.18,689,44,25
0.14.8,670,17,3
0.14.5,656,0,0
0.14.2,656,32,7
0.13.13,631,123,348
0.11.7,856,,
