version,number of symbols,added symbols,removed symbols
0.16.12,743,0,0
0.16.5,743,0,0
0.16.4,743,0,0
0.16.2,743,0,0
0.15.95,743,0,0
0.15.89,743,0,44
0.15.86,787,0,0
0.15.85,787,12,0
0.15.80,775,0,0
0.15.77,775,4,2
0.15.75,773,7,0
0.15.72,766,0,0
0.15.71,766,44,0
0.15.69,722,0,0
0.15.67,722,1,0
0.15.66,721,0,0
0.15.65,721,0,0
0.15.63,721,23,5
0.15.52,703,2,29
0.15.47,730,2,0
0.15.45,728,8,0
0.15.38,720,2,0
0.15.31,718,4,0
0.15.25,714,22,0
0.15.21,692,4,1
0.15.17,689,0,0
0.15.15,689,0,0
0.15.8,689,3,1
0.15.5,687,0,0
0.15.4,687,26,0
0.15.0,661,16,4
0.14.11,649,0,0
0.14.10,649,0,0
0.14.9,649,0,21
0.14.8,670,49,10
0.13.13,631,77,303
0.11.11,857,90,51
0.10.13,818,,
