version,number of symbols,added symbols,removed symbols
47.3.1,1555,0,4
47.2.0,1559,0,0
47.1.1,1559,0,0
47.1.0,1559,3,0
46.3.1,1556,0,3
46.2.0,1559,4,2
46.1.1,1557,1,0
46.0.0,1556,6,3
45.2.0,1553,1,0
45.1.0,1552,65,32
41.4.0,1519,9,0
41.2.0,1510,1,2
40.9.0,1511,1,0
40.8.0,1510,6,3
40.7.1,1507,30,4
40.5.0,1481,1,0
40.4.0,1480,0,2
40.2.0,1482,8,1
40.0.0,1475,15,7
39.0.1,1467,0,0
39.0.0,1467,400,4
38.6.0,1071,13,0
38.2.4,1058,30,9
36.7.2,1037,1,0
36.6.0,1036,752,0
36.3.0,284,13,725
33.1.0,996,23,3
28.8.0,976,2,0
28.7.1,974,0,0
28.7.0,974,12,1
28.5.0,963,18,4
28.3.0,949,1,0
27.3.1,948,3,0
27.2.0,945,3,0
27.1.0,942,10,6
26.1.0,938,26,0
26.0.0,912,8,4
25.1.5,908,0,0
25.1.4,908,,
