version,number of symbols,added symbols,removed symbols
47.3.0,1559,0,0
47.1.1,1559,0,0
47.1.0,1559,0,0
47.0.0,1559,16,8
45.0.0,1551,5,0
42.0.1,1546,0,0
42.0.0,1546,58,31
41.5.1,1519,10,1
41.0.1,1510,7,5
40.7.3,1508,1,0
40.7.1,1507,4,3
40.6.2,1506,8,0
40.6.1,1498,19,1
40.4.0,1480,8,3
40.0.0,1475,10,5
39.2.0,1470,405,6
38.6.0,1071,0,0
38.5.2,1071,13,0
38.5.1,1058,0,0
38.2.4,1058,30,9
36.7.2,1037,27,1
36.2.0,1011,14,0
33.1.1,997,8,4
32.3.0,993,5,0
31.0.1,988,13,1
28.8.0,976,2,0
28.7.1,974,0,0
28.7.0,974,12,1
28.6.1,963,0,0
28.6.0,963,0,0
28.5.0,963,25,4
27.1.2,942,0,0
27.1.0,942,10,9
27.0.0,941,29,0
25.4.0,912,2,0
25.3.0,910,7,3
25.2.0,906,,
