version,number of symbols,added symbols,removed symbols
47.3.2,1555,0,0
47.3.1,1555,0,4
47.1.0,1559,7,5
46.1.1,1557,1,0
46.0.0,1556,0,3
45.3.0,1559,7,0
45.1.0,1552,1,0
45.0.0,1551,2,0
44.0.0,1549,0,0
42.0.2,1549,3,0
42.0.1,1546,20,0
42.0.0,1526,43,50
41.6.0,1533,15,1
41.5.1,1519,1,1
41.4.0,1519,9,0
41.0.1,1510,8,5
40.7.1,1507,4,3
40.6.2,1506,8,0
40.6.1,1498,0,0
40.6.0,1498,19,1
40.4.3,1480,0,0
40.4.0,1480,436,14
38.4.0,1058,0,0
38.2.4,1058,1,0
38.2.3,1057,30,9
36.6.0,1036,48,5
32.3.0,993,18,1
29.0.1,976,0,0
28.8.0,976,2,0
28.7.1,974,12,1
28.5.0,963,15,0
28.4.0,948,4,4
27.3.1,948,3,0
27.2.0,945,3,0
27.1.0,942,10,9
27.0.0,941,3,0
26.1.1,938,0,0
26.1.0,938,26,0
26.0.0,912,2,0
25.3.0,910,45,4
25.1.5,869,0,39
25.1.4,908,,
