version,number of symbols,added symbols,removed symbols
0.8.1,315,8,0
0.7.5,307,7,2
0.7.4,302,2,0
0.7.3,300,3,2
0.7.2,299,11,21
0.7.1,309,0,0
0.7.0,309,68,5
0.6.6,246,0,17
0.6.4,263,0,0
0.6.3,263,16,22
0.6.2,269,0,0
0.6.1,269,62,3
0.5.9,210,0,0
0.5.8,210,0,0
0.5.7,210,0,0
0.5.6,210,1,0
0.5.5,209,0,0
0.5.4,209,3,1
0.5.3,207,2,0
0.5.2,205,0,28
0.5.0,233,76,11
0.4.4,168,27,0
0.4.3,141,5,0
0.4.2,136,1,0
0.4.1,135,67,1
0.4.0,69,3,0
0.3.1,66,0,0
0.3.0,66,11,0
0.2.1,55,14,4
0.1.1,45,,
