version,number of symbols,added symbols,removed symbols
3.8.6,1049,26,9
3.7.7,1032,38,10
3.6.15,1004,51,10
3.1.10,963,0,0
3.1.5,963,10,2
3.0.11,955,171,30
2.38.1,814,16,6
2.37.35,804,0,0
2.37.34,804,0,0
2.37.32,804,5,5
2.37.24,804,6,2
2.36.30,800,40,7
2.36.7,767,1,0
2.36.6,766,0,0
2.36.4,766,0,0
2.36.3,766,217,174
2.35.33,723,9,1
2.35.15,715,27,1
2.33.27,689,4,8
2.33.4,693,0,0
2.33.3,693,1,0
2.32.6,692,2,0
2.32.3,690,5,2
2.31.54,687,7,3
2.31.42,683,0,0
2.31.37,683,23,0
2.31.26,660,1,0
2.31.25,659,0,1
2.31.21,660,,
