version,number of symbols,added symbols,removed symbols
0.22.1,574,7,1
0.21.4,568,0,1
0.21.3,569,0,1
0.21.0,570,9,1
0.20.8,562,0,0
0.20.7,562,0,0
0.20.6,562,0,0
0.20.5,562,0,0
0.20.4,562,0,0
0.20.3,562,0,0
0.20.2,562,1,0
0.20.1,561,15,10
0.19.3,556,4,0
0.19.2,552,3,0
0.19.1,549,24,0
0.18.0,525,11,84
0.16.4,598,0,0
0.16.3,598,0,0
0.16.2,598,0,0
0.16.1,598,0,0
0.16.0,598,9,1
0.15.0,590,5,4
0.13.0,589,39,1
0.12.1,551,2,0
0.11.8,549,0,0
0.11.7,549,0,0
0.11.6,549,17,0
0.11.5,532,40,0
0.11.4,492,0,0
0.11.2,492,,
